address,vaddr,file_offset,size,name,symbol,module,status,confidence,callers,callees,score
0x00104cc0,2116800,1068352,848,FUN_00104cc0,FUN_00104cc0,,pseudo_stub,0.5,0,0,2.84
0x001071e0,2126304,1077856,192,FUN_001071e0,memcpy64,core/mem,real_c,1.0,0,0,13.62
0x00108ee8,2133736,1085288,72,FUN_00108ee8,FUN_00108ee8,,real_logic,0.8,1,0,5.14
0x0010c820,2148384,1099936,1360,FUN_0010c820,FUN_0010c820,,real_logic,0.8,0,0,5.52
0x0010e780,2156416,1107968,448,FUN_0010e780,packed_bits_write,core/bitstream,real_c,1.0,0,0,43.9
0x0010ee50,2158160,1109712,480,FUN_0010ee50,packed_bits_read,core/bitstream,real_c,1.0,0,0,43.9
0x00114cf0,2182384,1133936,32,FUN_00114cf0,FUN_00114cf0,,real_logic,0.8,0,0,2.52
0x001153f0,2184176,1135728,64,FUN_001153f0,FUN_001153f0,,pseudo_stub,0.5,0,0,2.84
0x00115430,2184240,1135792,48,FUN_00115430,FUN_00115430,,real_logic,0.8,0,0,3.34
0x00115460,2184288,1135840,768,FUN_00115460,FUN_00115460,,real_logic,0.8,0,0,1.06
0x0011c0c0,2212032,1163584,48,FUN_0011c0c0,FUN_0011c0c0,,pseudo_stub,0.5,0,0,2.84
0x0011c7e0,2213856,1165408,48,FUN_0011c7e0,FUN_0011c7e0,,pseudo_stub,0.5,0,0,2.84
0x0011e790,2221968,1173520,96,FUN_0011e790,defaults_init_entity,game/entity,real_c,1.0,0,0,17.36
0x001206f0,2230000,1181552,48,FUN_001206f0,FUN_001206f0,,real_logic,0.8,0,0,15.7
0x00120720,2230048,1181600,48,FUN_00120720,FUN_00120720,,real_logic,0.8,0,0,19.26
0x00120750,2230096,1181648,112,FUN_00120750,FUN_00120750,,real_logic,0.8,0,0,7.28
0x001207c0,2230208,1181760,80,FUN_001207c0,FUN_001207c0,,real_logic,0.8,0,0,7.28
0x001238d0,2242768,1194320,96,FUN_001238d0,FUN_001238d0,core/struct,real_logic,0.8,0,0,6.16
0x0012bda0,2276768,1228320,256,FUN_0012bda0,collision_support,physics/collision,real_c,1.0,0,0,17.46
0x0012bf60,2277216,1228768,80,FUN_0012bf60,FUN_0012bf60,,pseudo_stub,0.5,0,0,2.84
0x0012c1f0,2277872,1229424,48,FUN_0012c1f0,FUN_0012c1f0,,pseudo_stub,0.5,0,0,2.84
0x0012c400,2278400,1229952,256,FUN_0012c400,FUN_0012c400,,pseudo_stub,0.5,0,0,2.84
0x0012d570,2282864,1234416,240,FUN_0012d570,FUN_0012d570,,pseudo_stub,0.5,0,0,2.84
0x00134ec0,2313920,1265472,112,FUN_00134ec0,FUN_00134ec0,,real_logic,0.8,0,0,5.96
0x00136110,2318608,1270160,224,FUN_00136110,FUN_00136110,,real_logic,0.8,0,0,7.28
0x0013e950,2353488,1305040,96,FUN_0013e950,FUN_0013e950,,real_logic,0.8,0,0,5.26
0x00147a30,2390576,1342128,240,FUN_00147a30,FUN_00147a30,,pseudo_stub,0.5,0,0,2.84
