address,raw_name,module,body_bytes,kind,detail
0x00104cc0,FUN_00104cc0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00108ee8,FUN_00108ee8,,57,thunk,wraps FUN_00445d90
0x0010c820,FUN_0010c820,,276,convert,cast/float math
0x00114cf0,FUN_00114cf0,,126,struct_op,field assignment/read mix
0x001153f0,FUN_001153f0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00115430,FUN_00115430,,167,convert,cast/float math
0x00115460,FUN_00115460,,53,struct_op,field assignment/read mix
0x0011c0c0,FUN_0011c0c0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0011c7e0,FUN_0011c7e0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x001206f0,FUN_001206f0,,335,other,simd/vu0
0x00120720,FUN_00120720,,363,other,simd/vu0
0x00120750,FUN_00120750,,214,other,simd/vu0
0x001207c0,FUN_001207c0,,214,other,simd/vu0
0x001238d0,FUN_001238d0,core/struct,308,setter,"4 field writes, returns"
0x0012bf60,FUN_0012bf60,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0012c1f0,FUN_0012c1f0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0012c400,FUN_0012c400,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0012d570,FUN_0012d570,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00134ec0,FUN_00134ec0,,298,memcmp,"compares two structs, returns int"
0x00136110,FUN_00136110,,214,other,simd/vu0
0x0013e950,FUN_0013e950,,263,predicate,boolean test on struct fields
0x00147a30,FUN_00147a30,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00147cc0,FUN_00147cc0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00148aa0,FUN_00148aa0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0014b870,FUN_0014b870,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0014b8d0,FUN_0014b8d0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00154d50,FUN_00154d50,,323,convert,cast/float math
0x00157010,FUN_00157010,,247,memcmp,"compares two structs, returns int"
0x00157070,FUN_00157070,,312,memcmp,"compares two structs, returns int"
0x00157440,FUN_00157440,,247,memcmp,"compares two structs, returns int"
0x001574a0,FUN_001574a0,,312,memcmp,"compares two structs, returns int"
0x00161de0,FUN_00161de0,,233,other,simd/vu0
0x0016a110,FUN_0016a110,,281,convert,cast/float math
0x0016b030,FUN_0016b030,,193,convert,cast/float math
0x0017a230,FUN_0017a230,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00181500,FUN_00181500,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00183650,FUN_00183650,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00184810,FUN_00184810,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00185250,FUN_00185250,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00188080,FUN_00188080,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00189cf0,FUN_00189cf0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00189d40,FUN_00189d40,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0018ae20,FUN_0018ae20,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0018ae80,FUN_0018ae80,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0018ddc0,FUN_0018ddc0,,84,getter,reads 0 field(s)
0x0018f950,FUN_0018f950,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00194f90,FUN_00194f90,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00195c80,FUN_00195c80,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00195cd0,FUN_00195cd0,,126,convert,cast/float math
0x001963d0,FUN_001963d0,,280,convert,cast/float math
0x00197870,FUN_00197870,,351,convert,cast/float math
0x00198de0,FUN_00198de0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00198e80,FUN_00198e80,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00198ed0,FUN_00198ed0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0019a560,FUN_0019a560,,172,convert,cast/float math
0x0019c8a0,FUN_0019c8a0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0019d240,FUN_0019d240,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0019d330,FUN_0019d330,,342,setter,"1 field writes, returns"
0x0019df10,FUN_0019df10,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0019e030,FUN_0019e030,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0019e920,FUN_0019e920,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0019f020,FUN_0019f020,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0019f6c0,FUN_0019f6c0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0019fdd0,FUN_0019fdd0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x001a82f0,FUN_001a82f0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x001a8660,FUN_001a8660,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x001a8d10,FUN_001a8d10,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x001a94a0,FUN_001a94a0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x001ab5b0,FUN_001ab5b0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x001ab6b0,FUN_001ab6b0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x001ab880,FUN_001ab880,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x001acde0,FUN_001acde0,core/struct,274,setter,"4 field writes, returns"
0x001b82f0,FUN_001b82f0,core/struct,274,setter,"4 field writes, returns"
0x001c3470,FUN_001c3470,core/struct,274,setter,"4 field writes, returns"
0x001ca130,FUN_001ca130,core/struct,308,setter,"4 field writes, returns"
0x001ca430,FUN_001ca430,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x001cad90,FUN_001cad90,core/struct,274,setter,"4 field writes, returns"
0x001cb220,FUN_001cb220,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x001ccb00,FUN_001ccb00,core/struct,308,setter,"4 field writes, returns"
0x001cf680,FUN_001cf680,core/struct,274,setter,"4 field writes, returns"
0x001cf6f0,FUN_001cf6f0,,274,convert,cast/float math
0x001dbea0,FUN_001dbea0,core/struct,308,setter,"4 field writes, returns"
0x001df840,FUN_001df840,core/struct,308,setter,"4 field writes, returns"
0x001dfdb0,FUN_001dfdb0,core/struct,308,setter,"4 field writes, returns"
0x001e0050,FUN_001e0050,core/struct,308,setter,"4 field writes, returns"
0x001ebea0,FUN_001ebea0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x001f4e00,FUN_001f4e00,,244,struct_op,field assignment/read mix
0x002366c0,FUN_002366c0,,244,struct_op,field assignment/read mix
0x00237bb0,FUN_00237bb0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0023e070,FUN_0023e070,,111,convert,cast/float math
0x00240040,FUN_00240040,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00241210,FUN_00241210,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00241380,FUN_00241380,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x002414c0,FUN_002414c0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x002467a0,FUN_002467a0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x002470e0,FUN_002470e0,,246,struct_op,field assignment/read mix
0x0028b3f0,FUN_0028b3f0,,446,memcmp,"compares two structs, returns int"
0x002b5bf0,FUN_002b5bf0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x002c33d0,FUN_002c33d0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x002c48f0,FUN_002c48f0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x002e7870,FUN_002e7870,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0031c990,FUN_0031c990,,298,struct_op,field assignment/read mix
0x003342e0,FUN_003342e0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00337690,FUN_00337690,,57,thunk,wraps FUN_00380e80
0x00337e10,FUN_00337e10,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0033a050,FUN_0033a050,,210,other,simd/vu0
0x0033b860,FUN_0033b860,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0033c170,FUN_0033c170,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0034bb20,FUN_0034bb20,,346,other,simd/vu0
0x00363b70,FUN_00363b70,,56,struct_op,field assignment/read mix
0x00365450,FUN_00365450,,264,other,simd/vu0
0x0036d630,FUN_0036d630,,346,other,simd/vu0
0x00377190,FUN_00377190,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x003994a0,FUN_003994a0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0039eb60,FUN_0039eb60,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x003bff30,FUN_003bff30,,243,struct_op,field assignment/read mix
0x003e1300,FUN_003e1300,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x003ebea0,FUN_003ebea0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x003eddf0,FUN_003eddf0,,244,struct_op,field assignment/read mix
0x003ee2e0,FUN_003ee2e0,,246,struct_op,field assignment/read mix
0x003eea70,FUN_003eea70,,246,struct_op,field assignment/read mix
0x003ef2b0,FUN_003ef2b0,,244,struct_op,field assignment/read mix
0x003ef8c0,FUN_003ef8c0,,244,struct_op,field assignment/read mix
0x003efc30,FUN_003efc30,,244,struct_op,field assignment/read mix
0x003f00a0,FUN_003f00a0,,244,struct_op,field assignment/read mix
0x003f0810,FUN_003f0810,,244,struct_op,field assignment/read mix
0x003f0d60,FUN_003f0d60,,244,struct_op,field assignment/read mix
0x003f1430,FUN_003f1430,,244,struct_op,field assignment/read mix
0x003f5b50,FUN_003f5b50,,275,convert,cast/float math
0x003f9968,FUN_003f9968,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x003fd320,FUN_003fd320,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00404e80,FUN_00404e80,,309,memcmp,"compares two structs, returns int"
0x0040a820,FUN_0040a820,,80,struct_op,field assignment/read mix
0x0040b3e0,FUN_0040b3e0,,243,struct_op,field assignment/read mix
0x0040be00,FUN_0040be00,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0040f030,FUN_0040f030,,288,convert,cast/float math
0x00417650,FUN_00417650,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x004238c0,FUN_004238c0,,72,getter,reads 0 field(s)
0x00423d80,FUN_00423d80,,214,other,simd/vu0
0x004285f0,FUN_004285f0,,65,struct_op,field assignment/read mix
0x00428630,FUN_00428630,,144,thunk,wraps FUN_004285f0
0x00429708,FUN_00429708,,214,other,simd/vu0
0x00429760,FUN_00429760,,214,other,simd/vu0
0x004297c0,FUN_004297c0,,214,other,simd/vu0
0x00429820,FUN_00429820,,214,other,simd/vu0
0x00429880,FUN_00429880,,214,other,simd/vu0
0x004298e0,FUN_004298e0,,214,other,simd/vu0
0x00429940,FUN_00429940,,214,other,simd/vu0
0x004299a0,FUN_004299a0,,308,other,simd/vu0
0x00429b08,FUN_00429b08,,214,other,simd/vu0
0x00429b80,FUN_00429b80,,214,other,simd/vu0
0x00429c60,FUN_00429c60,,214,other,simd/vu0
0x00429de0,FUN_00429de0,,298,other,simd/vu0
0x00429ef0,FUN_00429ef0,,144,thunk,wraps FUN_0042a5e8
0x00429f10,FUN_00429f10,,144,thunk,wraps FUN_00429ef0
0x0042a5e8,FUN_0042a5e8,,243,struct_op,field assignment/read mix
0x0042a7f8,FUN_0042a7f8,,144,thunk,wraps FUN_004299a0
0x0042a980,FUN_0042a980,,365,other,simd/vu0
0x0042ab60,FUN_0042ab60,,242,other,simd/vu0
0x0042acb0,FUN_0042acb0,,144,thunk,wraps FUN_00429708
0x0042acd0,FUN_0042acd0,,214,other,simd/vu0
0x0042ae68,FUN_0042ae68,,304,struct_op,field assignment/read mix
0x0042ba78,FUN_0042ba78,,198,thunk,wraps FUN_00432fc0
0x0042bb70,FUN_0042bb70,,214,other,simd/vu0
0x0042bd70,FUN_0042bd70,,134,thunk,wraps FUN_00108ee8
0x0042bd98,FUN_0042bd98,,144,thunk,wraps FUN_0042f100
0x0042bdb8,FUN_0042bdb8,,144,thunk,wraps FUN_004318c0
0x0042bde0,FUN_0042bde0,,244,struct_op,field assignment/read mix
0x0042bfa8,FUN_0042bfa8,,363,other,simd/vu0
0x0042c1c8,FUN_0042c1c8,,242,other,simd/vu0
0x0042c1e8,FUN_0042c1e8,,214,other,simd/vu0
0x0042c238,FUN_0042c238,,214,other,simd/vu0
0x0042c280,FUN_0042c280,,299,struct_op,field assignment/read mix
0x0042c5c0,FUN_0042c5c0,,214,other,simd/vu0
0x0042c620,FUN_0042c620,,244,thunk,wraps FUN_0043cb00
0x0042c660,FUN_0042c660,,214,other,simd/vu0
0x0042c740,FUN_0042c740,,363,other,simd/vu0
0x0042c848,FUN_0042c848,,299,struct_op,field assignment/read mix
0x0042cac8,FUN_0042cac8,,339,other,simd/vu0
0x0042cb00,FUN_0042cb00,,309,other,simd/vu0
0x0042cd18,FUN_0042cd18,,298,other,simd/vu0
0x0042ce18,FUN_0042ce18,,215,struct_op,field assignment/read mix
0x0042cfe0,FUN_0042cfe0,,243,struct_op,field assignment/read mix
0x0042d3d0,FUN_0042d3d0,,215,other,simd/vu0
0x0042d680,FUN_0042d680,,242,other,simd/vu0
0x0042d6b0,FUN_0042d6b0,,144,thunk,wraps FUN_00431390
0x0042d708,FUN_0042d708,,260,other,simd/vu0
0x0042d770,FUN_0042d770,,308,struct_op,field assignment/read mix
0x0042f100,FUN_0042f100,,144,thunk,wraps FUN_0042e1f0
0x0042f130,FUN_0042f130,,162,struct_op,field assignment/read mix
0x0042f158,FUN_0042f158,,244,struct_op,field assignment/read mix
0x0042f638,FUN_0042f638,,222,thunk,wraps FUN_0042f660
0x0042f750,FUN_0042f750,,243,struct_op,field assignment/read mix
0x0042fb10,FUN_0042fb10,,214,other,simd/vu0
0x0042fd98,FUN_0042fd98,,244,struct_op,field assignment/read mix
0x00430000,FUN_00430000,,308,struct_op,field assignment/read mix
0x00430748,FUN_00430748,,230,other,simd/vu0
0x004312a0,FUN_004312a0,,344,struct_op,field assignment/read mix
0x00431390,FUN_00431390,,344,struct_op,field assignment/read mix
0x00431488,FUN_00431488,,214,other,simd/vu0
0x00431920,FUN_00431920,,308,struct_op,field assignment/read mix
0x00432588,FUN_00432588,,308,other,simd/vu0
0x00432e90,FUN_00432e90,,144,thunk,wraps FUN_00432eb8
0x00433090,FUN_00433090,,406,struct_op,field assignment/read mix
0x00433ec0,FUN_00433ec0,,144,thunk,wraps FUN_00433ef0
0x00433ef0,FUN_00433ef0,,324,struct_op,field assignment/read mix
0x0043cb00,FUN_0043cb00,core/struct,53,struct_op,field assignment/read mix
0x0043d2b8,FUN_0043d2b8,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0043e328,FUN_0043e328,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0043f5b8,FUN_0043f5b8,,260,getter,reads 0 field(s)
0x0043f5e8,FUN_0043f5e8,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00440890,FUN_00440890,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x004450e0,FUN_004450e0,core/struct,53,struct_op,field assignment/read mix
0x004450f0,FUN_004450f0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00446150,FUN_00446150,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00446c30,FUN_00446c30,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00446c68,FUN_00446c68,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00448d40,FUN_00448d40,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00449070,FUN_00449070,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x004490b0,FUN_004490b0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x00449160,FUN_00449160,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x004491c0,FUN_004491c0,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0044fcb0,FUN_0044fcb0,,243,struct_op,field assignment/read mix
0x0045b778,FUN_0045b778,,142,pseudo_stub,"body is halt_* only, no recovered logic"
0x0045d6f0,FUN_0045d6f0,,172,setter,"2 field writes, returns"
0x00464618,FUN_00464618,,142,pseudo_stub,"body is halt_* only, no recovered logic"
