address,name,score,leaf,asm,sheet,body,REV
0x0045d6f0,FUN_0045d6f0,8.44,setter,1,1,1,1
0x00114cf0,FUN_00114cf0,2.52,struct_op,1,1,1,1
0x004238c0,FUN_004238c0,1.44,getter,1,1,1,1
0x00363b70,FUN_00363b70,1.12,struct_op,1,1,1,1
0x0022ade0,FUN_0022ade0,156.0,,1,1,,
0x00381030,FUN_00381030,140.36,,1,1,,
0x0022d1a0,FUN_0022d1a0,120.6,,1,1,,
0x002304a0,FUN_002304a0,120.34,,1,1,,
0x003a0730,FUN_003a0730,110.86,,1,1,,
0x003a09f0,FUN_003a09f0,110.4,,1,1,,
0x004518d0,FUN_004518d0,105.5,,1,1,,
0x003f6b20,FUN_003f6b20,104.38,,1,1,,
0x003f6840,FUN_003f6840,83.38,,1,1,,
0x00365d80,FUN_00365d80,79.28,,1,1,,
0x0058dea0,FUN_0058dea0,76.88,,1,1,,
0x0042a818,FUN_0042a818,60.14,,1,1,,
0x00534b60,FUN_00534b60,59.44,,1,1,,
0x001a1bd0,FUN_001a1bd0,44.02,,1,1,,
0x0010e780,FUN_0010e780,43.9,,1,1,,
0x0010ee50,FUN_0010ee50,43.9,,1,1,,
0x003955c0,FUN_003955c0,40.28,,1,1,,
0x003ae0e0,FUN_003ae0e0,39.22,,1,1,,
0x0035bc40,FUN_0035bc40,39.1,,1,1,,
0x0042a4e0,FUN_0042a4e0,38.96,,1,1,,
0x004f9eb0,FUN_004f9eb0,37.82,,1,1,,
0x0042a680,FUN_0042a680,37.4,,1,1,,
0x00432fc0,FUN_00432fc0,37.08,,1,1,,
0x0042bc88,FUN_0042bc88,35.6,,1,1,,
0x0042f660,FUN_0042f660,35.28,,1,1,,
0x004311f0,FUN_004311f0,34.54,,1,1,,
0x00190370,FUN_00190370,32.92,,1,1,,
0x003472f0,FUN_003472f0,31.48,,1,1,,
0x0035c3f0,FUN_0035c3f0,31.48,,1,1,,
0x00394050,FUN_00394050,31.48,,1,1,,
0x0019e150,FUN_0019e150,25.68,,1,1,,
0x001b6340,FUN_001b6340,20.96,,1,1,,
0x00432818,FUN_00432818,20.42,,1,1,,
0x0042ac48,FUN_0042ac48,19.28,,1,1,,
0x00120720,FUN_00120720,19.26,other,1,1,1,
0x0019f7f0,FUN_0019f7f0,18.68,,1,1,,
0x0019ea30,FUN_0019ea30,18.64,,1,1,,
0x004299a0,FUN_004299a0,18.16,other,1,1,1,
0x00428b18,FUN_00428b18,17.96,,1,1,,
0x004312a0,FUN_004312a0,17.88,struct_op,1,1,1,
0x0012bda0,FUN_0012bda0,17.46,,1,1,,
0x004327a0,FUN_004327a0,17.44,,1,1,,
0x0011e790,FUN_0011e790,17.36,,1,1,,
0x00195820,FUN_00195820,16.34,,1,1,,
0x00429c60,FUN_00429c60,16.28,other,1,1,1,
0x001c3910,FUN_001c3910,16.24,,1,1,,
0x0034bb20,FUN_0034bb20,15.92,other,1,1,1,
0x0036d630,FUN_0036d630,15.92,other,1,1,1,
0x001206f0,FUN_001206f0,15.7,other,1,1,1,
0x003803c0,FUN_003803c0,15.42,,1,1,,
0x00380560,FUN_00380560,15.42,,1,1,,
0x0019f130,FUN_0019f130,14.82,,1,1,,
0x0042a980,FUN_0042a980,14.3,other,1,1,1,
0x00405d20,FUN_00405d20,14.26,,1,1,,
0x00407550,FUN_00407550,14.26,,1,1,,
0x00157070,FUN_00157070,14.24,memcmp,1,1,1,
0x001574a0,FUN_001574a0,14.24,memcmp,1,1,1,
0x0042c620,FUN_0042c620,13.88,thunk,1,1,1,
0x0042cac8,FUN_0042cac8,13.78,other,1,1,1,
0x001071e0,FUN_001071e0,13.62,,1,1,,
0x006588a0,FUN_006588a0,13.24,,1,1,,
0x0042d708,FUN_0042d708,13.2,other,1,1,1,
0x00165e70,FUN_00165e70,13.06,,1,1,,
0x00431390,FUN_00431390,12.88,struct_op,1,1,1,
0x00405dc0,FUN_00405dc0,12.84,,1,1,,
0x004075f0,FUN_004075f0,12.84,,1,1,,
0x00428f48,FUN_00428f48,12.68,,1,1,,
0x00433ef0,FUN_00433ef0,12.48,struct_op,1,1,1,
0x00428c50,FUN_00428c50,12.44,,1,1,,
0x0026e060,FUN_0026e060,11.96,,1,1,,
0x0026e1a0,FUN_0026e1a0,11.96,,1,1,,
0x0026e2e0,FUN_0026e2e0,11.96,,1,1,,
0x0026e420,FUN_0026e420,11.96,,1,1,,
0x0042ab60,FUN_0042ab60,11.84,other,1,1,1,
0x0042d680,FUN_0042d680,11.84,other,1,1,1,
