address,raw_name,symbol,module,body_bytes,kind
0x00104cc0,FUN_00104cc0,,,142,real
0x001071e0,FUN_001071e0,memcpy64,core/mem,681,real
0x00108ee8,FUN_00108ee8,,,57,real
0x0010c820,FUN_0010c820,,,276,real
0x0010e780,FUN_0010e780,packed_bits_write,core/bitstream,2045,real
0x0010ee50,FUN_0010ee50,packed_bits_read,core/bitstream,2045,real
0x00114cf0,FUN_00114cf0,,,126,real
0x001153f0,FUN_001153f0,,,142,real
0x00115430,FUN_00115430,,,167,real
0x00115460,FUN_00115460,,,53,real
0x0011c0c0,FUN_0011c0c0,,,142,real
0x0011c7e0,FUN_0011c7e0,,,142,real
0x0011e790,FUN_0011e790,defaults_init_entity,game/entity,868,real
0x001206f0,FUN_001206f0,,,335,real
0x00120720,FUN_00120720,,,363,real
0x00120750,FUN_00120750,,,214,real
0x001207c0,FUN_001207c0,,,214,real
0x001238d0,FUN_001238d0,,core/struct,308,real
0x0012bda0,FUN_0012bda0,collision_support,physics/collision,873,real
0x0012bf60,FUN_0012bf60,,,142,real
0x0012c1f0,FUN_0012c1f0,,,142,real
0x0012c400,FUN_0012c400,,,142,real
0x0012d570,FUN_0012d570,,,142,real
0x00134ec0,FUN_00134ec0,,,298,real
0x00136110,FUN_00136110,,,214,real
0x0013e950,FUN_0013e950,,,263,real
0x00147a30,FUN_00147a30,,,142,real
0x00147cc0,FUN_00147cc0,,,142,real
0x00148aa0,FUN_00148aa0,,,142,real
0x0014b870,FUN_0014b870,,,142,real
0x0014b8d0,FUN_0014b8d0,,,142,real
0x00154d50,FUN_00154d50,,,323,real
0x00157010,FUN_00157010,,,247,real
0x00157070,FUN_00157070,,,312,real
0x00157440,FUN_00157440,,,247,real
0x001574a0,FUN_001574a0,,,312,real
0x0015ba30,FUN_0015ba30,vec3_copy,math/vec,274,real
0x00161de0,FUN_00161de0,,,233,real
0x00165e70,FUN_00165e70,accessor_fields,core/struct,653,real
0x0016a110,FUN_0016a110,,,281,real
0x0016b030,FUN_0016b030,,,193,real
0x0017a230,FUN_0017a230,,,142,real
0x00181500,FUN_00181500,,,142,real
